[SYS] 2026/03/12 - 15:37:48 | One API v0.6.10 started 
[SYS] 2026/03/12 - 15:37:48 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/03/12 - 15:37:48 | database migration started 
[SYS] 2026/03/12 - 15:37:48 | database migrated 
[SYS] 2026/03/12 - 15:37:48 | no user exists, creating a root user for you: username is root, password is 123456 
[SYS] 2026/03/12 - 15:37:48 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/03/12 - 15:37:48 | using theme default 
[SYS] 2026/03/12 - 15:37:48 | initializing token encoders 
[SYS] 2026/03/12 - 15:37:52 | token encoders initialized 
[SYS] 2026/03/12 - 15:37:52 | server started on http://localhost:3001 
[GIN] 2026/03/12 - 15:37:55 | 2026031215375584015600083091628 | 200 |    5.191666ms |             ::1 |     GET /
[GIN] 2026/03/12 - 23:48:51 | 2026031223485150481400093378142 | 200 |     779.583µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:48:52 | 2026031223485231615300087714487 | 200 |     560.916µs |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 23:48:53 | 2026031223485317413100053368689 | 200 |       1.938ms |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 23:49:02 | 2026031223490231673400092580293 | 200 |       1.039ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:49:06 | 2026031223490658830100018361217 | 200 |    1.038917ms |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773334146&channel=
[GIN] 2026/03/13 - 01:27:04 | 2026031301270425196100098170122 | 200 |   26.101666ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/13 - 01:27:05 | 2026031301270591104700053680733 | 200 |     2.57725ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/13 - 01:27:05 | 2026031301270591256200041840537 | 200 |    2.730292ms |             ::1 |     GET /api/models
[GIN] 2026/03/13 - 01:27:08 | 202603130127084888400021835646 | 200 |    1.067917ms |             ::1 |     GET /api/group/
[GIN] 2026/03/13 - 01:27:08 | 202603130127084866300030651460 | 200 |    11.11375ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/13 - 01:27:27 | 2026031301272751923500091557217 | 200 |   10.401125ms |             ::1 |    POST /api/channel/
[GIN] 2026/03/13 - 01:27:32 | 2026031301273299472100090052413 | 200 |    1.433375ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/13 - 01:27:33 | 2026031301273382270800028065789 | 200 |    3.053167ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/13 - 01:27:33 | 2026031301273382627800049163170 | 200 |    1.437708ms |             ::1 |     GET /api/models
[SYS] 2026/03/13 - 01:27:36 | {"contents":[{"role":"user","parts":[{"text":"hi"}]}],"safety_settings":[{"category":"HARM_CATEGORY_HARASSMENT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_HATE_SPEECH","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_SEXUALLY_EXPLICIT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_DANGEROUS_CONTENT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_CIVIC_INTEGRITY","threshold":"BLOCK_NONE"}],"generation_config":{"maxOutputTokens":2}} 
[GIN] 2026/03/13 - 01:27:37 | 2026031301273693515100019889266 | 200 |  472.812208ms |             ::1 |     GET /api/channel/test/3?model=gemini-pro
[SYS] 2026/03/13 - 01:27:44 | {"contents":[{"role":"user","parts":[{"text":"hi"}]}],"safety_settings":[{"category":"HARM_CATEGORY_HARASSMENT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_HATE_SPEECH","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_SEXUALLY_EXPLICIT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_DANGEROUS_CONTENT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_CIVIC_INTEGRITY","threshold":"BLOCK_NONE"}],"generation_config":{"maxOutputTokens":2}} 
[GIN] 2026/03/13 - 01:27:44 | 2026031301274425254800004692940 | 200 |  205.810875ms |             ::1 |     GET /api/channel/test/3?model=gemini-pro
[GIN] 2026/03/13 - 01:27:58 | 2026031301275847329300024405662 | 200 |     628.875µs |             ::1 |     GET /api/group/
[GIN] 2026/03/13 - 01:27:58 | 2026031301275846912200068154769 | 200 |    5.164583ms |             ::1 |     GET /api/channel/3
[GIN] 2026/03/13 - 01:27:58 | 2026031301275847291800042423702 | 200 |    2.388208ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/13 - 01:28:49 | 2026031301284969549300032671621 | 200 |    1.279208ms |             ::1 |     GET /channel/edit/3
[GIN] 2026/03/13 - 01:28:49 | 2026031301284990603600002009652 | 200 |     715.292µs |             ::1 |     GET /api/group/
[GIN] 2026/03/13 - 01:28:49 | 2026031301284990632000061419817 | 200 |    2.060708ms |             ::1 |     GET /api/status
[GIN] 2026/03/13 - 01:28:49 | 2026031301284990488800051720669 | 200 |    4.485709ms |             ::1 |     GET /api/channel/3
[GIN] 2026/03/13 - 01:28:49 | 2026031301284990621000074576741 | 200 |    5.133583ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/13 - 01:29:06 | 2026031301290679319200053994019 | 200 |    6.168459ms |             ::1 |     PUT /api/channel/
[GIN] 2026/03/13 - 01:29:11 | 2026031301291125049000069298779 | 200 |     972.375µs |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773340151&channel=
[GIN] 2026/03/13 - 01:29:12 | 2026031301291265718800008832213 | 200 |    5.725292ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/13 - 01:29:14 | 2026031301291412098000090079553 | 200 |    1.076375ms |             ::1 |     GET /api/user/self
[GIN] 2026/03/13 - 01:29:14 | 2026031301291438973800076375811 | 200 |    1.209958ms |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/13 - 01:29:14 | 2026031301291475273400030302349 | 200 |         997µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/13 - 01:29:15 | 2026031301291564023700028857100 | 200 |    2.404167ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/13 - 01:29:15 | 2026031301291564269700062410341 | 200 |     899.084µs |             ::1 |     GET /api/models
[SYS] 2026/03/13 - 01:29:16 | {"contents":[{"role":"user","parts":[{"text":"hi"}]}],"safety_settings":[{"category":"HARM_CATEGORY_HARASSMENT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_HATE_SPEECH","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_SEXUALLY_EXPLICIT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_DANGEROUS_CONTENT","threshold":"BLOCK_NONE"},{"category":"HARM_CATEGORY_CIVIC_INTEGRITY","threshold":"BLOCK_NONE"}],"generation_config":{"maxOutputTokens":2}} 
[GIN] 2026/03/13 - 01:29:17 | 2026031301291682083500058804641 | 200 |  471.377375ms |             ::1 |     GET /api/channel/test/3?model=gemini-1.5-pro
